algorithm,timestamp,keys_in_memory
SLIDING,1123.000000000028,875
SLIDING,1123.600000000028,843
SLIDING,1124.0000000000282,814
SLIDING,1124.6000000000283,720
TUMBLING,1125.0,703
SLIDING,1125.0000000000284,686
SLIDING,1125.6000000000286,697
SLIDING,1126.0000000000286,696
SLIDING,1126.6000000000288,692
SLIDING,1127.0000000000289,691
SLIDING,1127.600000000029,687
SLIDING,1128.000000000029,681
SLIDING,1128.6000000000292,674
SLIDING,1129.0000000000293,677
SLIDING,1129.6000000000295,687
TUMBLING,1130.0,708
SLIDING,1130.0000000000296,698
SLIDING,1130.6000000000297,779
SLIDING,1131.0000000000298,827
SLIDING,1131.60000000003,864
SLIDING,1132.00000000003,877
SLIDING,1132.6000000000301,872
SLIDING,1133.0000000000302,860
SLIDING,1133.6000000000304,828
SLIDING,1134.0000000000305,797
SLIDING,1134.6000000000306,725
TUMBLING,1135.0,714
SLIDING,1135.0000000000307,698
SLIDING,1135.6000000000308,693
SLIDING,1136.000000000031,691
SLIDING,1136.600000000031,704
SLIDING,1137.0000000000312,704
SLIDING,1137.6000000000313,704
SLIDING,1138.0000000000314,698
SLIDING,1138.6000000000315,689
SLIDING,1139.0000000000316,690
SLIDING,1139.6000000000317,685
TUMBLING,1140.0,692
SLIDING,1140.0000000000318,677
SLIDING,1140.600000000032,773
SLIDING,1141.000000000032,813
SLIDING,1141.6000000000322,874
SLIDING,1142.0000000000323,887
SLIDING,1142.6000000000324,891
SLIDING,1143.0000000000325,899
SLIDING,1143.6000000000327,852
SLIDING,1144.0000000000327,823
SLIDING,1144.6000000000329,740
TUMBLING,1145.0,718
SLIDING,1145.000000000033,707
SLIDING,1145.600000000033,706
SLIDING,1146.0000000000332,701
SLIDING,1146.6000000000333,703
SLIDING,1147.0000000000334,700
SLIDING,1147.6000000000336,720
SLIDING,1148.0000000000337,712
SLIDING,1148.6000000000338,700
SLIDING,1149.0000000000339,708
SLIDING,1149.600000000034,707
TUMBLING,1150.0,716
SLIDING,1150.000000000034,703
SLIDING,1150.6000000000342,803
SLIDING,1151.0000000000343,850
SLIDING,1151.6000000000345,893
SLIDING,1152.0000000000346,908
SLIDING,1152.6000000000347,890
SLIDING,1153.0000000000348,888
SLIDING,1153.600000000035,839
SLIDING,1154.000000000035,806
SLIDING,1154.6000000000352,723
TUMBLING,1155.0,714
SLIDING,1155.0000000000352,701
SLIDING,1155.6000000000354,705
SLIDING,1156.0000000000355,705
SLIDING,1156.6000000000356,714
SLIDING,1157.0000000000357,711
SLIDING,1157.6000000000358,700
SLIDING,1158.000000000036,700
SLIDING,1158.600000000036,692
SLIDING,1159.0000000000362,690
SLIDING,1159.6000000000363,678
SLIDING,1160.0000000000364,683
TUMBLING,1160.0,698
SLIDING,1160.6000000000365,775
SLIDING,1161.0000000000366,831
SLIDING,1161.6000000000367,878
SLIDING,1162.0000000000368,899
SLIDING,1162.600000000037,906
SLIDING,1163.000000000037,898
SLIDING,1163.6000000000372,867
SLIDING,1164.0000000000373,824
SLIDING,1164.6000000000374,751
SLIDING,1165.0000000000375,711
TUMBLING,1165.0,727
SLIDING,1165.6000000000377,711
SLIDING,1166.0000000000377,704
SLIDING,1166.6000000000379,695
SLIDING,1167.000000000038,698
SLIDING,1167.600000000038,691
